file_id,file_name,h_mean,h_std,h_min,h_max,s_mean,s_std,s_min,s_max,l_mean,l_std,l_min,l_max,percentage_shadow_pixels,average_shadow_luminance
1RneqR8coVnJHPPwQ7wq3dHbzPiDfk59i,podocarpus_neriifolius_607_aug_00353.jpg,49.66625478316327,23.227009349056477,0.0,172.0,58.32991868622449,51.861565548561344,0.0,255.0,54.50434470663265,30.982944055116906,0.0,211.0,47.67817283163265,30.590603185219244
1G0shK8FJ6FLJOWxaHKNW7xuAUqFYWrYS,podocarpus_neriifolius_337_aug_00351.jpg,53.423808195153065,20.083230594768605,0.0,177.0,72.78049266581633,57.34077860048494,0.0,255.0,46.11736686862245,29.313942673458182,0.0,196.0,59.771603954081634,27.281884565369612
1DAJDpB0PTYHdtsDrB2A9z0HbgMsh3pCb,podocarpus_neriifolius_47_aug_00349.jpg,57.68046476403061,11.163851248038515,0.0,174.0,83.60114397321429,56.305855327800074,0.0,255.0,51.29257015306123,34.087727350093516,0.0,234.0,55.442841198979586,27.770947913296666
1BvI0_7yWDhGpiBNZjdZh1pO-GNbiWDUM,podocarpus_neriifolius_206_aug_00348.jpg,51.1985012755102,15.090299342074587,0.0,172.0,64.17984693877551,45.93272506186875,0.0,255.0,60.97845583545919,32.51792140753428,0.0,242.0,39.253826530612244,31.98568237205524
18KgXgGiT9Ll0BNyxmgRaznq0qTGMRPHw,podocarpus_neriifolius_529_aug_00346.jpg,46.674525669642854,30.31829239270433,0.0,172.0,48.99629304846939,50.213210374797924,0.0,255.0,62.339764030612244,39.33250756819964,0.0,228.0,29.599808673469386,14.251211957985456
1C8xxxkPT8XYhyElzxsRyF3o2A_d-H0Fx,podocarpus_neriifolius_438_aug_00347.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83522002551021,40.84332611247406,0.0,255.0,28.762755102040817,28.03984201773836
16mAc1c7GahDCDtm4vAzaQar40u5GINTQ,podocarpus_neriifolius_220_aug_00344.jpg,49.15858179209184,19.036635160924998,0.0,172.0,72.96930803571429,52.92362582898097,0.0,255.0,67.97094228316327,41.017747244378064,0.0,242.0,32.08506058673469,25.005279831045407
1FUVP3rjD4ETTfyr-2SFxx_M9k4GtdscP,podocarpus_neriifolius_53_aug_00345.jpg,53.00791214923469,22.574654643293346,0.0,173.0,61.6067044005102,56.30809689415751,0.0,255.0,59.644750478316325,43.32693052716947,0.0,250.0,44.363839285714285,22.830053908355794
1iAkKD4ARO2GQEbxQQ4JzBNaNh87Foqrf,podocarpus_neriifolius_344_aug_00341.jpg,48.091179049744895,22.89889282056391,0.0,172.0,57.88632015306123,52.90586323386049,0.0,255.0,61.978396045918366,37.87720329068343,0.0,245.0,35.99131058673469,23.74383963674622
1ehtiL5YL6GkGVjkUIHaETOBQ--FcmyEI,podocarpus_neriifolius_139_aug_00342.jpg,47.790019132653065,20.707292558768515,0.0,172.0,61.30321269132653,49.67646258692896,0.0,255.0,50.341717155612244,34.09929641585701,0.0,239.0,52.44140625,25.586402158628815
10zuWScaJunwfzeL0xP_PAN_NF5nIcz0x,podocarpus_neriifolius_486_aug_00340.jpg,50.319614955357146,28.625194714799044,0.0,177.0,54.27100605867347,52.68795256579873,0.0,255.0,66.88713727678571,38.363062530163155,0.0,242.0,29.34072066326531,24.458905040076075
1BcUx76JbExOsIs2Bf2o-TbGd5ixvnrHf,podocarpus_neriifolius_486_aug_00339.jpg,52.846560108418366,23.62459746270667,0.0,173.0,48.4050143494898,32.96919016849676,0.0,255.0,70.70087292729592,29.322228366997713,0.0,234.0,20.286591198979593,34.81766381766382
1okkZaMp2_jbZkpBjmNif2jcIK17sf5rg,podocarpus_neriifolius_111_aug_00338.jpg,56.52012914540816,10.662691688884145,0.0,172.0,49.14813855229592,31.331268652435853,0.0,255.0,61.965740593112244,27.109698418231776,0.0,211.0,36.01124043367347,37.08738723781062
13r9Jal2-4h1R133HK_Puz3ul-5WV8_8s,podocarpus_neriifolius_300_aug_00337.jpg,50.915019132653065,12.511668375374573,0.0,172.0,52.39668367346939,32.118461851099745,0.0,255.0,49.21914859693877,23.93947406288964,2.0,190.0,56.915656887755105,32.749247146158694
1KMQgkGdqLmT5Qyr0aAq7EWnTaC_tIZNb,podocarpus_neriifolius_354_aug_00336.jpg,50.52590880102041,24.366755342374827,0.0,172.0,46.45657286352041,45.31226982969989,0.0,255.0,43.89154177295919,24.92520690586604,0.0,160.0,58.890704719387756,28.37358286236421
1Ga1-CvLz3zU3E1pnstYeMwTCyInY53Eg,Plumeria_765_aug_00423.jpg,35.186503507653065,9.446425090482775,0.0,177.0,64.39562739158163,42.46986650272311,0.0,255.0,48.269252232142854,21.388818410103536,3.0,171.0,57.07708864795919,33.72998358881246
1tyFwNTO5VwflPP4YAs21tNtrDdYqGSLJ,Plumeria_765_aug_00421.jpg,35.853794642857146,19.12942700732949,0.0,178.0,72.9486009247449,63.51322144016761,0.0,255.0,69.45284598214286,46.54866003429525,0.0,250.0,34.14979272959184,20.89489349285089
1x83RnLdCMMlEZkcHQuI-rthMKfmDiKj3,Plumeria_217_aug_00424.jpg,44.2861328125,18.628558136281647,0.0,172.0,62.189034598214285,53.73465906023702,0.0,255.0,62.158621651785715,38.627666129427666,0.0,253.0,39.11830357142857,25.88557163236193
