file_id,file_name,total_edge_pixels,edge_density
1Sr6HVWAPN-RPhDublOp9ps01wzSF2uvl,Yellow_Walking_Iris_136_aug_00318.jpg,13597,0.2709861288265306
13KHOn9Jor8thiDTDdaJdpXYITTdrkVC7,Yellow_Walking_Iris_561_aug_00315.jpg,12800,0.25510204081632654
1iYIt0gz8_wlllEHuQISPU7Wt-IiAU4Iv,Yellow_Walking_Iris_134_aug_00317.jpg,11283,0.22486846301020408
1iRiGYrgCqPmv707f8WLoX3JE2s8PWuWg,Yellow_Walking_Iris_7_aug_00313.jpg,10800,0.2152423469387755
17fRrFVkekpmRwne5nQdyuMpVo8xbER0q,Yellow_Walking_Iris_132_aug_00312.jpg,9101,0.18138153698979592
1H1A8bC76xw3Xvv_bN262sZXi9njpI95L,Yellow_Walking_Iris_563_aug_00311.jpg,14419,0.2873684630102041
18NN7xQqtsvbnRVIkdDZcPPHm0qNCH3DJ,Yellow_Walking_Iris_408_aug_00309.jpg,12361,0.24635283801020408
1BIReDBpAn5e5eDn7B_Y4oUYZUM0y80oI,Yellow_Walking_Iris_477_aug_00310.jpg,7431,0.1480986926020408
1OqIIvbicck9Uax6NhLmrYEleyU8bqwvS,Yellow_Walking_Iris_132_aug_00308.jpg,11644,0.23206313775510204
1-Sf7bJS4VDGfq5KBz3h2sepd9EsrdqsL,Yellow_Walking_Iris_66_aug_00307.jpg,11526,0.22971141581632654
1H-JbTfzpgrIY_jgZVl6YDDZF2cx7TXac,Yellow_Walking_Iris_272_aug_00304.jpg,11991,0.23897879464285715
198dLRMLjinlCmfTfeJ29COBCidTFnYP-,Yellow_Walking_Iris_3_aug_00305.jpg,11944,0.2380420918367347
1CZ38kZVqLamPhHZP1qr6syv3Cta8gmaX,Yellow_Walking_Iris_169_aug_00303.jpg,10618,0.21161511479591838
1r2QGYM7APh49qI37iONSa97vgAl6UzQi,Yellow_Walking_Iris_80_aug_00302.jpg,14068,0.28037308673469385
1Vv0rhVrm6Euz7UH6EWG6KJxWpLJwEF8t,Yellow_Walking_Iris_576_aug_00301.jpg,8140,0.16222895408163265
1l6vqa_8uEtQeZQ6bDqpsjs6rC_1uJFU-,Yellow_Walking_Iris_567_aug_00299.jpg,13391,0.26688058035714285
19-Ha_J0NzCbvPc9SG4yL4A_Jf2sTM92x,Yellow_Walking_Iris_390_aug_00300.jpg,11853,0.23622847576530612
1wdTFCO9A75O34qFVvuKdmxVa3PSmT8PW,Yellow_Walking_Iris_374_aug_00295.jpg,12451,0.24814652423469388
1v2w_btzc0UqjtXrbwsBrlmLxqk-4rX4w,Yellow_Walking_Iris_268_aug_00298.jpg,9914,0.19758450255102042
1BM1j4rkFs_vhv0Etcq5qQ76MGK3VsrdM,Yellow_Walking_Iris_286_aug_00296.jpg,11409,0.2273796237244898
16xTgkAhix56xJB44vKNUDqCfcOXKaHWU,Yellow_Walking_Iris_391_aug_00294.jpg,13486,0.26877391581632654
1MzD6Feh8ZE5typFAN1fSqwNOXywgQZhZ,Yellow_Walking_Iris_391_aug_00293.jpg,12163,0.24240672831632654
1sccI3orq6ZUFX_MpXMQH3ulOFMq_Cjc6,Yellow_Walking_Iris_7_aug_00292.jpg,12688,0.2528698979591837
1YsTmXTGtyBqug9wBrClCTzZ_f1zuh-f6,Yellow_Walking_Iris_477_aug_00290.jpg,6201,0.12358498086734694
1GzG8tk_oSL1yGnhn_Q0CVRe6UUFUpGTQ,Yellow_Walking_Iris_455_aug_00288.jpg,12578,0.2506776147959184
1OyfjJL_juS98JP1qsPMiL567Njb62bRr,Yellow_Walking_Iris_223_aug_00291.jpg,10522,0.20970184948979592
1EnFw_wHscQA9q2R9NnvX49NV_dWxLTz2,Yellow_Walking_Iris_272_aug_00287.jpg,8777,0.17492426658163265
1JQqpGAlyg-XUIwwD8ch8i4nD1S0Ry2-T,Yellow_Walking_Iris_408_aug_00289.jpg,12161,0.24236686862244897
1cHJUsAQSDf1qP1H-ze-6Nh2pPTDdnAZx,Yellow_Walking_Iris_470_aug_00284.jpg,10788,0.2150031887755102
1Bl3BlWmatJoIkGQhfrtT9mMpD8fIGuGP,Yellow_Walking_Iris_112_aug_00286.jpg,13289,0.26484773596938777
1vjOxdOJxwCqGmqERFGW_ug--J2dmBhlR,Yellow_Walking_Iris_142_aug_00285.jpg,14175,0.28250558035714285
1CgSbmLLef-kiwIxbN6Y2AD5p6kqQYmpE,Yellow_Walking_Iris_98_aug_00283.jpg,11216,0.22353316326530612
1XUxNRQ2jvQZVg2BK-S_CByTWCQO3YlVk,Yellow_Walking_Iris_537_aug_00282.jpg,6241,0.12438217474489796
1Vgw7H12icdmZMEQzz8ufLsXTyOBYIDub,Yellow_Walking_Iris_572_aug_00280.jpg,10358,0.20643335459183673
1EbLlZ7XrJEdUzAMS9YwmemVQCAwHU-LJ,Yellow_Walking_Iris_309_aug_00279.jpg,6673,0.13299186862244897
1leJmfPg0Z3kjnM1fiTKSClDRCQ_OG6Pn,Yellow_Walking_Iris_174_aug_00277.jpg,11240,0.22401147959183673
1byiRgxGs_ylLTXttz6xhSj-eubjbTOrL,Yellow_Walking_Iris_182_aug_00278.jpg,7635,0.15216438137755103
1VKtLDOOEX23lUZXdyiaYmAHZpQi0vQjt,Yellow_Walking_Iris_423_aug_00275.jpg,12042,0.2399952168367347
1u3-0X7UKSPoj2T_Z-12VZxECyqJRsHL1,Yellow_Walking_Iris_29_aug_00276.jpg,12008,0.2393176020408163
1IOswpzO2HEspgefatzVMnif7d4Q7MC1_,Yellow_Walking_Iris_182_aug_00274.jpg,12502,0.24916294642857142
1Biun35NE53ioO96SUDXHYnfXiCXJp0Ss,Yellow_Walking_Iris_104_aug_00270.jpg,12026,0.23967633928571427
18mC8GCm84c40ZHc88DXTsG_2oUXM6Hxk,Yellow_Walking_Iris_112_aug_00272.jpg,12942,0.2579320790816326
19IkthqZiY_qWl_GBi-ssqWNYnvEZ6kmI,Yellow_Walking_Iris_112_aug_00271.jpg,10251,0.20430086096938777
1kcZo413slOgjzgoWvns7T9yUgz4VcdPi,Yellow_Walking_Iris_118_aug_00269.jpg,9790,0.19511320153061223
