file_id,file_name,num_contours,avg_contour_area,std_contour_area,max_contour_area,min_contour_area,total_perimeter
1Zo9ir6g4adAZHb9LtiAbKLjJYcxJb-nT,erythrina_variegata_125_aug_00470.jpg,62,609.7096774193549,4679.304345482165,37154.5,0.0,2663.135327935219
1Iud2j4A9M47oxce-wNW4ICWWFCMKL4qN,erythrina_variegata_502_aug_00469.jpg,57,641.3333333333334,4725.456972549343,35999.5,0.0,1514.2295705080032
1cDTLXtEUXTlKc4EpBwtOv30WNo584F-3,erythrina_variegata_420_aug_00466.jpg,426,74.90610328638498,1528.2093050857081,31579.5,0.0,3281.4826486110687
1ML_rhpZ2YXW2k10oxrCDyE3uqityTbNN,erythrina_variegata_20_aug_00462.jpg,71,531.169014084507,4355.220319893647,36966.0,0.0,2471.630713582039
1O89XIr65wY-yGIrgpQ750h0dFj6H_dli,erythrina_variegata_238_aug_00463.jpg,155,243.76129032258063,2983.967960854269,37272.5,0.0,3767.4380539655685
1iqicqPxJ5fpGLdJGQApIoVqNUIhvGQDF,erythrina_variegata_468_aug_00458.jpg,40,1100.425,6781.964985855869,43451.5,0.0,1826.7981127500534
1mav6dlsAN5OHWPK9fFVcqdLhKJ6unLPw,erythrina_variegata_60_aug_00460.jpg,137,299.93430656934305,3419.950636098218,40178.5,0.0,3008.414545416832
1dk3yDZT3zDco4txs6giVvmYDKfILBtG4,erythrina_variegata_748_aug_00461.jpg,46,936.6521739130435,6273.194139828094,43018.5,0.0,1661.5087893009186
1MqX-t2KsB_18mO1NPGYdlcC6QytsfKB5,erythrina_variegata_223_aug_00456.jpg,255,148.37058823529412,2338.0818954688607,37410.5,0.0,3479.916195988655
1h0NE7ZYkx4hWQKVPNwdCFAM3MWFt0kmk,erythrina_variegata_590_aug_00457.jpg,63,712.1031746031746,5600.629473662739,44811.5,0.0,1844.579855799675
1LdmMf6kgCj5MlVb2UmOW6PwZKVpAMYB9,erythrina_variegata_657_aug_00453.jpg,41,1084.5243902439024,6796.500008479275,44068.5,0.0,1736.555471420288
1cbMGTYka4wuAz7ebm4h7U0Tf1Xf7Lyog,erythrina_variegata_439_aug_00455.jpg,59,637.6355932203389,4853.133851956312,37598.0,0.0,1711.0407524108887
1wO-zfZomx92B-nDyeP-qspxFUZMaR8Ld,erythrina_variegata_439_aug_00452.jpg,48,831.8541666666666,5696.341357761954,39884.0,0.0,1643.910809993744
1xHJc6nOd1aiCnO1LC0dKLc8znHr2LNhN,erythrina_variegata_337_aug_00454.jpg,151,271.8112582781457,3306.9934634584165,40774.0,0.0,4352.807673215866
1zCMG3SP8G7HK5EGbx9t_XPT98i6JUXJU,erythrina_variegata_748_aug_00448.jpg,66,624.6666666666666,5029.651149368457,41175.0,0.0,1788.6803615093231
1Bhx2cCxaht7FYRINVC0aTYvsFPOHAeEX,erythrina_variegata_420_aug_00449.jpg,133,285.82706766917295,3272.2407782276523,37881.0,0.0,3130.1445556879044
1o4WgpGou7-R_aIk4l6K0PF7fUHf1aTpL,erythrina_variegata_60_aug_00447.jpg,85,431.2176470588235,3920.593211002535,36364.0,0.0,2425.790094256401
